iris_1,iris_2,iris_3,iris_4,error,Goal_Met
8.035548,5.470772290822501,4.675096,5.037703,305.92352862663336,No
8.037548,5.472772290822501,4.677096,5.039702999999999,305.51036145405476,No
8.037548,5.472772290822501,4.677096,5.039702999999999,306.3341988037246,No
8.045547999999995,5.480772290822501,4.685096,5.047702999999999,303.8367365828976,No
8.045547999999995,5.480772290822501,4.685096,5.047702999999999,304.0878274058564,No
8.042083898384856,5.481926991360881,4.686250700538379,5.048857700538378,303.5980141199654,No
8.028399778741106,5.486488364575461,4.690812073752959,5.053419073752959,302.72810557547024,No
8.028399778741106,5.486488364575461,4.690812073752959,5.053419073752959,303.54495733801474,No
8.028399778741106,5.4832223782517495,4.692445066914814,5.055052066914815,301.87827269483097,No
8.028399778741106,5.481330707743095,4.693390902169143,5.055997902169143,301.37266946781523,No
8.028399778741106,5.481330707743095,4.699047756418635,5.05034104791965,294.82505571609886,No
8.028399778741106,5.481330707743095,4.699047756418635,5.05034104791965,298.1118700640075,No
8.028399778741106,5.481330707743095,4.699047756418635,5.05034104791965,300.300632806811,No
8.028399778741106,5.481330707743095,4.699047756418635,5.05034104791965,297.56394751530513,No
8.028399778741106,5.481330707743095,4.699047756418635,5.05034104791965,298.88396006818357,No
8.028399778741106,5.481330707743095,4.699047756418635,5.05034104791965,296.23821908177104,No
8.021753832691902,5.4911472294592025,4.715858411770885,5.0203400105046,269.7976910020765,No
8.025345419426406,5.490635759071691,4.714835156343416,5.019001410078266,269.7935146981943,No
8.025345419426406,5.490635759071691,4.714835156343416,5.019001410078266,269.815894482481,No
8.024618947287024,5.490739214456208,4.715042130757367,5.019272169491132,269.79263052920516,No
8.024618947287024,5.490739214456208,4.715042130757367,5.019272169491132,270.23773884873367,No
8.023758261198584,5.487529597718543,4.716394339242062,5.021041099130316,269.31461093362884,No
8.012548261342966,5.445725967278812,4.734006169062218,5.044080510672057,260.322510956251,No
7.996696743944827,5.41012122681453,4.771793008830548,5.034991546299716,217.28798303985914,No
7.996696743944827,5.41012122681453,4.771793008830548,5.034991546299716,298.1118700640075,No
7.982015849086775,5.37714586943545,4.806789319134696,5.0265737950543645,172.4683784949303,No
7.9831035700537045,5.3795890439122145,4.809697718383359,5.0271974739658,170.39938729611498,No
7.9831035700537045,5.3795890439122145,4.809697718383359,5.0271974739658,174.53607577008214,No
8.003770268425368,5.42600935897072,4.864957304107957,5.039047373283075,130.89903719265206,No
8.003770268425368,5.42600935897072,4.864957304107957,5.039047373283075,138.33130285671683,No
8.00280981827836,5.423852052679199,4.868572848455594,5.03231302816644,123.39057737769103,No
7.9845612654851985,5.382863233140294,4.937268191060703,4.904360470950387,57.21607093848006,No
7.9986309209239135,5.386766286354803,4.930726856599432,4.90421243410927,53.73840541237763,No
7.9986309209239135,5.386766286354803,4.930726856599432,4.90421243410927,61.57455959647585,No
8.047145901005564,5.400224792839509,4.908171029807631,4.903701973534776,53.73300616401725,No
8.047145901005564,5.400224792839509,4.908171029807631,4.903701973534776,74.52904918914678,No
8.047145901005564,5.400224792839509,4.908171029807631,4.903701973534776,77.71189121080727,No
8.047439047659683,5.3998392602663206,4.909646732968034,4.902512542727553,53.328736109059804,No
8.047921003839134,5.415525475761363,4.912072905149087,4.900557024833981,46.683601199077344,No
8.047921003839134,5.415525475761363,4.912072905149087,4.900557024833981,60.59948367912729,No
8.052799269712146,5.5742982708592965,4.936630143872231,4.880763656451106,34.14346202201292,No
8.053147825429086,5.57168031762139,4.952347164081566,4.879349405590876,29.198921374004613,No
8.053147825429086,5.57168031762139,4.952347164081566,4.879349405590876,41.33294125992521,No
8.053741251381426,5.567223178295066,4.979105834883371,4.876941603558683,26.388968236285088,No
8.054199784899765,5.563779197173295,4.982729427885653,4.8921336513073985,23.68359013015214,No
8.054199784899765,5.563779197173295,4.982729427885653,4.8921336513073985,29.708759393215818,No
8.055989528869343,5.550336680546914,4.996873004014019,4.9514311175913885,20.32982784065812,No
8.055989528869343,5.550336680546914,4.996873004014019,4.9514311175913885,23.088500130303068,No
8.055317183562302,5.538924280026929,4.9901293511826745,4.947802463546934,18.510001625592366,No
