iris_1,iris_2,iris_3,iris_4,len_1,len_2,len_3,error,Goal_Met
7.898545,5.327973559,4.752819369,4.660464035,9.021030467,10.29410752,10.50370823,12.78873517,Yes
7.898369928,5.327935353,4.752790137,4.660508864,9.020375185,10.29402913,10.50360735,12.77250009,Yes
7.898438327,5.32795028,4.752801558,4.66049135,9.020631195,10.29405975,10.50364676,12.77152411,Yes
7.898438327,5.32795028,4.752801558,4.66049135,9.020631195,10.29405975,10.50364676,12.8898063,Yes
7.898307518,5.327921733,4.752779716,4.660524845,9.020747768,10.293395,10.50357139,12.7114048,Yes
7.898237713,5.3279065,4.752768061,4.660542719,9.020809976,10.29304027,10.50353117,12.7030023,Yes
7.898237713,5.3279065,4.752768061,4.660542719,9.020809976,10.29304027,10.50353117,12.78296453,Yes
7.898119492,5.3278807,4.752748321,4.660572991,9.02091533,10.29304488,10.50285765,12.69088159,Yes
7.898157481,5.327888991,4.752754664,4.660563263,9.020881476,10.2930434,10.50307408,12.68733417,Yes
7.898843597,5.32791033,4.752770992,4.660538225,9.020794334,10.29303958,10.50304282,12.65796023,Yes
7.898843597,5.32791033,4.752770992,4.660538225,9.020794334,10.29303958,10.50304282,12.72092383,Yes
7.903281195,5.328048347,4.752876591,4.660376283,9.020230729,10.29301491,10.5028407,12.56937131,Yes
7.909053266,5.328616545,4.752293127,4.659724842,9.01882988,10.29328206,10.50357294,12.54405417,Yes
7.909053266,5.328616545,4.752293127,4.659724842,9.01882988,10.29328206,10.50357294,12.73564824,Yes
7.907203926,5.328434497,4.752480066,4.65993356,9.019278705,10.29319646,10.50333833,12.53750195,Yes
7.907142157,5.329124782,4.752486309,4.659940531,9.019293695,10.29319361,10.5033305,12.50239341,Yes
7.907142157,5.329124782,4.752486309,4.659940531,9.019293695,10.29319361,10.5033305,12.58933923,Yes
7.907043408,5.330228336,4.752496291,4.659951676,9.019317661,10.29318904,10.50331797,12.4805385,Yes
7.906983261,5.330216226,4.753186654,4.659958465,9.019332259,10.29318625,10.50331034,12.45643996,Yes
7.906983261,5.330216226,4.753186654,4.659958465,9.019332259,10.29318625,10.50331034,12.51979402,Yes
7.906917704,5.330203026,4.7539391,4.659965863,9.019348169,10.29318322,10.50330202,12.44752631,Yes
7.906858184,5.330191042,4.753938509,4.66065632,9.019362614,10.29318046,10.50329447,12.43687362,Yes
7.906858184,5.330191042,4.753938509,4.66065632,9.019362614,10.29318046,10.50329447,12.47161161,Yes
7.906840743,5.33018753,4.753938336,4.660858656,9.019366847,10.29317966,10.50329226,12.43628859,Yes
7.906840743,5.33018753,4.753938336,4.660858656,9.019366847,10.29317966,10.50329226,12.50933613,Yes
7.906898441,5.330199148,4.753938908,4.660866048,9.018676116,10.29318233,10.50329958,12.37700573,Yes
7.907118093,5.330243373,4.753941089,4.660894191,9.016046585,10.29319249,10.50332744,12.28704911,Yes
7.907118093,5.330243373,4.753941089,4.660894191,9.016046585,10.29319249,10.50332744,12.4313165,Yes
7.907177412,5.330255317,4.753941678,4.660901791,9.016029582,10.29250211,10.50333497,12.20967026,Yes
7.907216374,5.330263162,4.753942065,4.660906784,9.016018415,10.29204865,10.50333991,12.19712687,Yes
7.907216374,5.330263162,4.753942065,4.660906784,9.016018415,10.29204865,10.50333991,12.30460889,Yes
7.907276755,5.330275319,4.753942664,4.66091452,9.016001108,10.29204387,10.50264961,12.15623423,Yes
7.907283644,5.330276706,4.753942732,4.660915403,9.015999134,10.29204332,10.50257085,12.15598621,Yes
7.911069062,5.332384234,4.754951063,4.661425288,9.011996995,10.29112443,10.50231563,11.8684315,Yes
7.911069062,5.332384234,4.754951063,4.661425288,9.011996995,10.29112443,10.50231563,12.54402807,Yes
7.92000873,5.337361385,4.757332343,4.662629438,9.002545517,10.28895435,10.50171292,11.58702885,Yes
7.920551316,5.337170232,4.757240887,4.662583191,9.002908512,10.28903769,10.50173607,11.53259181,Yes
7.920551316,5.337170232,4.757240887,4.662583191,9.002908512,10.28903769,10.50173607,11.65486077,Yes
7.922485099,5.336488957,4.756914936,4.662418366,9.004202235,10.28933474,10.50181857,11.4387792,Yes
