iris_1,iris_2,iris_3,iris_4,error,Goal_Met
8.312448093613007,5.594015806680097,4.886744283091584,4.7644265625352,3.2044534274934846,No
8.312448093613007,5.594015806680097,4.886744283091584,4.7644265625352,3.3737452084798365,No
8.310448093613008,5.592015806680097,4.884744283091584,4.7624265625352,3.1111484795100903,No
8.308992274774505,5.590559987841594,4.883288464253082,4.7609707436966975,3.0880402246076124,No
8.308992274774505,5.590559987841594,4.883288464253082,4.7609707436966975,3.393036974316039,No
8.30409329528894,5.591376484422522,4.8841049608340095,4.7617872402776245,2.9716329271144444,No
8.30351887804387,5.591472220630033,4.88420069704152,4.761882976485136,2.96868641725844,No
8.30351887804387,5.591472220630033,4.88420069704152,4.761882976485136,3.24736055687719,No
8.30351887804387,5.591472220630033,4.88420069704152,4.761882976485136,3.0591930541329413,No
8.30351887804387,5.590241203945127,4.884446900378502,4.762129179822117,2.9375901276157457,No
8.30351887804387,5.590241203945127,4.884446900378502,4.762129179822117,2.9419163929543126,No
8.30351887804387,5.590241203945127,4.884446900378502,4.762129179822117,3.0541565058676623,No
8.30351887804387,5.590241203945127,4.886643961980062,4.761579914421727,2.9209895473442864,No
8.30351887804387,5.590241203945127,4.886643961980062,4.761579914421727,3.0030807140355966,No
8.30351887804387,5.590241203945127,4.886643961980062,4.761579914421727,3.0413114093156697,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.918213379974132,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.9276779274920446,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.9360389290772284,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.9176410613552246,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.9263716610522854,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.9240895393315194,No
8.30351887804387,5.590241203945127,4.886643961980062,4.762012680672371,2.917606745081318,No
8.299321143407685,5.588466716531789,4.886596799785207,4.760877884964417,2.846363925084499,No
8.299321143407685,5.588466716531789,4.886596799785207,4.760877884964417,3.0284103849859476,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,2.8094183966729385,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,6.416345917090318,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,6.190493795083411,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,2.809923235701446,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,2.8580673546351276,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,2.841818495556715,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,2.8105915527303367,No
8.293860550285444,5.586158387253123,4.88653544918085,4.759401694072172,2.836536244032458,No
8.293726728929853,5.585545868081667,4.886539761169189,4.759505447213314,2.79091833018314,No
8.293985030901588,5.583775540251925,4.886547008022411,4.759679817764933,2.771975450827755,No
8.29389923223392,5.58368787798511,4.887220302670422,4.7596218981102405,2.76619014245002,No
8.29389923223392,5.58368787798511,4.887220302670422,4.7596218981102405,2.7847238684214597,No
8.29387084563277,5.58365887480975,4.887443063083248,4.759602735316911,2.765888368030092,No
8.29387084563277,5.58365887480975,4.887443063083248,4.759602735316911,2.7718750551367948,No
8.29387084563277,5.58365887480975,4.887443063083248,4.759602735316911,2.773956125094308,No
8.293863432314605,5.583651300469814,4.88744713367916,4.7596518353673485,2.7658036511291746,No
8.293863432314605,5.583651300469814,4.88744713367916,4.7596518353673485,4.655827131683078,No
8.293863432314605,5.583651300469814,4.88744713367916,4.7596518353673485,3.3420184571258384,No
8.293863432314605,5.583651300469814,4.88744713367916,4.7596518353673485,2.8197341652244865,No
8.293985217404419,5.58377573080571,4.887380262424243,4.759641068406219,2.761825154865048,No
