iris_1;iris_2;iris_3;iris_4;len_1;len_2;len_3;error;Goal_Met
8.339908537191517;5.618284494461055;4.906785135048586;4.776517974530139;8.73555554992527;10.151393803760907;10.431515043320157;4.049923655247328;No
8.339908537191517;5.618284494461055;4.906785135048586;4.776517974530139;8.73555554992527;10.151393803760907;10.431515043320157;4.106204154012049;No
8.339908537191517;5.618284494461055;4.906785135048586;4.776517974530139;8.73555554992527;10.151393803760907;10.431515043320157;4.073820476497426;No
8.339504636468611;5.61788059373815;4.906381234325679;4.776114073807234;8.735151649202365;10.150989903038003;10.431111142597253;4.049636650996262;No
8.339504636468611;5.61788059373815;4.906381234325679;4.776114073807234;8.735151649202365;10.150989903038003;10.431111142597253;4.177183230664324;No
8.339504636468611;5.61788059373815;4.906381234325679;4.776114073807234;8.735151649202365;10.150989903038003;10.431111142597253;4.072691739070011;No
8.337805114539629;5.61816384739298;4.90666448798051;4.776397327462064;8.735434902857195;10.151273156692833;10.431394396252083;4.041937306258202;No
8.337805114539629;5.61816384739298;4.90666448798051;4.776397327462064;8.735434902857195;10.151273156692833;10.431394396252083;4.303406108952976;No
8.337805114539629;5.61816384739298;4.90666448798051;4.776397327462064;8.735434902857195;10.151273156692833;10.431394396252083;4.2090159661412985;No
8.337805114539629;5.617631878653592;4.906770881728388;4.7765037212099415;8.735541296605073;10.15137955044071;10.43150078999996;4.0280547876343205;No
8.337805114539629;5.617631878653592;4.906770881728388;4.7765037212099415;8.735541296605073;10.15137955044071;10.43150078999996;4.047752959073817;No
8.337805114539629;5.617631878653592;4.905587665771767;4.776799525199096;8.735837100594226;10.151675354429864;10.431796593989114;4.016480724715484;No
8.337805114539629;5.617631878653592;4.904493597605591;4.77707304224064;8.73611061763577;10.151948871471408;10.432070111030658;4.011314680564652;No
8.337805114539629;5.617631878653592;4.904493597605591;4.77707304224064;8.73611061763577;10.151948871471408;10.432070111030658;4.046619731225171;No
8.337805114539629;5.617631878653592;4.904493597605591;4.775927398316901;8.736492498943683;10.15233075277932;10.43245199233857;3.9902352006753983;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.73686743079352;10.152705684629158;10.432826924188408;3.9825584109689767;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.737947554243254;10.152165622904292;10.432286862463542;3.978793036223671;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.737947554243254;10.152165622904292;10.432286862463542;4.004139424538681;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.73763577900306;10.152321510524388;10.432442750083638;3.9773472035877253;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.73763577900306;10.152321510524388;10.432442750083638;4.060649663062714;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.73763577900306;10.152321510524388;10.432442750083638;4.086945548094256;No
8.337805114539629;5.617631878653592;4.904493597605591;4.774802602767388;8.73763577900306;10.152321510524388;10.432442750083638;3.9777555732384435;No
8.337168434964237;5.617434340058666;4.903799978049439;4.774283381314405;8.73826543817535;10.152685371115961;10.432640499825329;3.9622336000446845;No
8.337168434964237;5.617434340058666;4.903799978049439;4.774283381314405;8.73826543817535;10.152685371115961;10.432640499825329;3.9959921369940026;No
8.333846253989307;5.616403587719118;4.900180685421958;4.771574094414776;8.741550986830788;10.15425130557347;10.434005036575954;3.9121492279952257;No
